Participant ID,Eye calibration success,HUD adjustment,White Cane,PWS average time,Preferred Walking Speed (m/s),Condition,Direction,Layout,Control Time,Order,PPWS,Errors,Median Rating,Confidence,Obstacle location,Obstacle size,Awareness,Preferred Condition
OA13,Yes,None,Yes,11.17,1.34,Control (last),Forward,6,19.85,6,56.26%,0,7,7,7,4,7,N/A
OA13,Yes,None,Yes,11.17,1.34,Control (last),Backward,6,19.28,6,57.92%,0,7,7,7,4,7,N/A
OA14,No,None,No,11.54,1.3,Control (first),Forward,7,15.95,1,72.37%,0,4.5,6,5,4,2,N/A
OA14,No,None,No,11.54,1.3,Control (first),Backward,7,16.5,1,69.95%,0,4.5,6,5,4,2,N/A
OA14,No,None,No,11.54,1.3,No Cues,Forward,2,,2,59.34%,1,4,4,4,4,3,N/A
OA14,No,None,No,11.54,1.3,No Cues,Backward,2,,2,62.40%,0,4,4,4,4,3,N/A
OA14,No,None,No,11.54,1.3,Collocated,Forward,6,,4,54.82%,0,6,6,6,7,6,Yes
OA14,No,None,No,11.54,1.3,Collocated,Backward,6,,4,56.53%,0,6,6,6,7,6,Yes
OA14,No,None,No,11.54,1.3,HUD,Forward,8,,5,37.34%,1,2,2,3,2,2,No
OA14,No,None,No,11.54,1.3,HUD,Backward,8,,5,39.51%,0,2,2,3,2,2,No
OA14,No,None,No,11.54,1.3,Combined,Forward,1,,3,53.02%,0,3,3,3,3,3,No
OA14,No,None,No,11.54,1.3,Combined,Backward,1,,3,51.81%,2,3,3,3,3,3,No
OA14,No,None,No,11.54,1.3,Control (last),Forward,3,17.23,6,66.99%,0,6.5,7,7,6,6,N/A
OA14,No,None,No,11.54,1.3,Control (last),Backward,3,17.76,6,64.99%,1,6.5,7,7,6,6,N/A
OA15,No,None,No,10.26,1.46,Control (first),Forward,3,13.14,1,78.10%,0,6.5,7,6,7,5,N/A
OA15,No,None,No,10.26,1.46,Control (first),Backward,3,12.97,1,79.12%,0,6.5,7,6,7,5,N/A
OA15,No,None,No,10.26,1.46,No Cues,Forward,6,,5,72.48%,1,4,4,4,4,4,N/A
OA15,No,None,No,10.26,1.46,No Cues,Backward,6,,5,73.47%,0,4,4,4,4,4,N/A
OA15,No,None,No,10.26,1.46,Collocated,Forward,7,,3,66.08%,1,4,4,4,6,4,No
OA15,No,None,No,10.26,1.46,Collocated,Backward,7,,3,70.44%,0,4,4,4,6,4,No
OA15,No,None,No,10.26,1.46,HUD,Forward,8,,2,60.52%,1,3,3,3,3,4,No
OA15,No,None,No,10.26,1.46,HUD,Backward,8,,2,64.71%,0,3,3,3,3,4,No
OA15,No,None,No,10.26,1.46,Combined,Forward,1,,4,62.97%,1,6,6,6,6,5,Yes
OA15,No,None,No,10.26,1.46,Combined,Backward,1,,4,66.61%,1,6,6,6,6,5,Yes
OA15,No,None,No,10.26,1.46,Control (last),Forward,5,12.24,6,83.84%,1,7,7,7,7,6,N/A
OA15,No,None,No,10.26,1.46,Control (last),Backward,5,11.56,6,88.78%,0,7,7,7,7,6,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Control (first),Forward,2,20.21,1,59.93%,0,4,4,4,5,4,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Control (first),Backward,2,19.95,1,60.71%,0,4,4,4,5,4,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,No Cues,Forward,4,,2,49.72%,1,4,4,4,5,4,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,No Cues,Backward,4,,2,52.77%,0,4,4,4,5,4,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Collocated,Forward,8,,3,53.25%,0,7,7,7,7,7,Yes
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Collocated,Backward,8,,3,55.65%,0,7,7,7,7,7,Yes
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,HUD,Forward,5,,5,42.38%,0,4.5,5,5,4,4,No
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,HUD,Backward,5,,5,48.71%,0,4.5,5,5,4,4,No
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Combined,Forward,7,,4,37.97%,1,4.5,5,5,4,3,No
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Combined,Backward,7,,4,43.19%,0,4.5,5,5,4,3,No
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Control (last),Forward,6,18.43,6,65.72%,0,4,4,4,5,4,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Control (last),Backward,6,18.35,6,66.01%,0,4,4,4,5,4,N/A
OA17,Yes,None,Yes,13.06,1.15,Control (first),Forward,6,27.56,1,47.37%,2,3,5,4,2,2,N/A
OA17,Yes,None,Yes,13.06,1.15,Control (first),Backward,6,20.22,1,64.56%,3,3,5,4,2,2,N/A
OA17,Yes,None,Yes,13.06,1.15,No Cues,Forward,2,,5,47.74%,1,3,3,3,3,4,N/A
OA17,Yes,None,Yes,13.06,1.15,No Cues,Backward,2,,5,59.32%,1,3,3,3,3,4,N/A
OA17,Yes,None,Yes,13.06,1.15,Collocated,Forward,7,,2,53.17%,0,7,7,7,7,3,Yes
OA17,Yes,None,Yes,13.06,1.15,Collocated,Backward,7,,2,56.47%,0,7,7,7,7,3,Yes
OA17,Yes,None,Yes,13.06,1.15,HUD,Forward,1,,4,33.07%,3,4,4,4,4,2,No
OA17,Yes,None,Yes,13.06,1.15,HUD,Backward,1,,4,46.71%,1,4,4,4,4,2,No
OA17,Yes,None,Yes,13.06,1.15,Combined,Forward,4,,3,42.70%,2,5,7,5,5,2,No
OA17,Yes,None,Yes,13.06,1.15,Combined,Backward,4,,3,44.01%,1,5,7,5,5,2,No
OA17,Yes,None,Yes,13.06,1.15,Control (last),Forward,3,25.57,6,51.06%,1,3.5,5,3,3,4,N/A
OA17,Yes,None,Yes,13.06,1.15,Control (last),Backward,3,27.95,6,46.71%,2,3.5,5,3,3,4,N/A
OA18,No,3 shrink,Yes,13.44,1.12,Control (first),Forward,1,17.4,1,77.26%,0,5,5,5,4,7,N/A
OA18,No,3 shrink,Yes,13.44,1.12,Control (first),Backward,1,16.76,1,80.21%,0,5,5,5,4,7,N/A
OA18,No,3 shrink,Yes,13.44,1.12,No Cues,Forward,6,,2,71.72%,1,4,4,4,4,4,N/A
OA18,No,3 shrink,Yes,13.44,1.12,No Cues,Backward,6,,2,69.68%,0,4,4,4,4,4,N/A
OA18,No,3 shrink,Yes,13.44,1.12,Collocated,Forward,5,,3,71.33%,1,5,6,4,7,4,No
OA18,No,3 shrink,Yes,13.44,1.12,Collocated,Backward,5,,3,72.85%,0,5,6,4,7,4,No
OA18,No,3 shrink,Yes,13.44,1.12,HUD,Forward,2,,4,71.45%,2,5,6,7,4,4,Yes
OA18,No,3 shrink,Yes,13.44,1.12,HUD,Backward,2,,4,71.97%,0,5,6,7,4,4,Yes
OA18,No,3 shrink,Yes,13.44,1.12,Combined,Forward,8,,5,70.52%,1,5.5,4,7,7,4,No
OA18,No,3 shrink,Yes,13.44,1.12,Combined,Backward,8,,5,72.28%,1,5.5,4,7,7,4,No
OA18,No,3 shrink,Yes,13.44,1.12,Control (last),Forward,4,18.13,6,74.15%,3,5,5,5,4,7,N/A
OA18,No,3 shrink,Yes,13.44,1.12,Control (last),Backward,4,17.8,6,75.52%,0,5,5,5,4,7,N/A
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Control (first),Forward,1,20.65,1,71.00%,0,7,7,7,7,7,N/A
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Control (first),Backward,1,17.48,1,83.88%,0,7,7,7,7,7,N/A
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,No Cues,Forward,6,,3,68.63%,2,3.5,3,3,4,4,N/A
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,No Cues,Backward,6,,3,73.66%,0,3.5,3,3,4,4,N/A
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Collocated,Forward,3,,5,70.87%,0,5,5,5,6,5,Yes
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Collocated,Backward,3,,5,74.17%,0,5,5,5,6,5,Yes
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,HUD,Forward,8,,4,36.60%,1,3,3,3,1,3,No
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,HUD,Backward,8,,4,57.20%,0,3,3,3,1,3,No
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Combined,Forward,2,,2,49.31%,2,4.5,4,5,5,3,No
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Combined,Backward,2,,2,55.90%,1,4.5,4,5,5,3,No
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Control (last),Forward,4,16.45,6,89.13%,1,6.5,7,5,7,6,N/A
OA19,Yes,"3 shrink, 2 left",No,14.66,1.02,Control (last),Backward,4,15.83,6,92.62%,0,6.5,7,5,7,6,N/A
OA20,Yes,None,No,13.23,1.13,Control (first),Forward,1,34.24,1,38.63%,0,5,4,5,5,5,N/A
OA20,Yes,None,No,13.23,1.13,Control (first),Backward,1,28.09,1,47.09%,0,5,4,5,5,5,N/A
OA20,Yes,None,No,13.23,1.13,No Cues,Forward,4,,3,36.21%,1,4,4,4,4,4,N/A
OA20,Yes,None,No,13.23,1.13,No Cues,Backward,4,,3,34.26%,1,4,4,4,4,4,N/A
OA20,Yes,None,No,13.23,1.13,Collocated,Forward,8,,5,42.64%,1,6.5,6,7,6,7,No
OA20,Yes,None,No,13.23,1.13,Collocated,Backward,8,,5,48.87%,0,6.5,6,7,6,7,No
OA20,Yes,None,No,13.23,1.13,HUD,Forward,7,,4,31.45%,0,5.5,6,5,5,6,No
