"","Participant.ID","Eye.calibration.success","HUD.adjustment","White.Cane","PWS.average.time","Preferred.Walking.Speed..m.s.","Condition","Forward.or.Backward","Layout","Calibrated.Distance","Calibrated.Time","Average.Speed","X.Pitch","Y.Yaw","Z.Roll","Total.Rotation","Order","PPWS","Errors","Median.Rating","Confidence","Obstacle.location","Obstacle.size","Awareness","Preferred.Condition","rotSpeedX","rotSpeedY","rotSpeedZ","Percent.Stopped","Percent.Slowed","Speed.Variance","Speed.Variance.Corrected"
"14","OA03","Yes","None","No",10.09,1.49,"HUD","Combined",6,15.843775,25.97,0.61,444.17,359.06,228.79,1032.025,3,38.57,0,-1,-1,0,-2,-1,"No",17.107900595,13.83893571,8.816727732,0.366029764,6.1569883275,0.082729751,0.1354385175
"15","OA03","Yes","None","No",10.09,1.49,"Combined","Combined",4,15.946795,25.86,0.62,474.33,438.28,245.285,1157.89,2,38.685,0,0.5,0,1,1,-1,"No",18.39527808,17.011965945,9.4975375935,0.208594982,8.201693967,0.0807231305,0.130484578
"16","OA04","Yes","None","Yes",10.51,1.43,"Control","Combined",6,9999,18.3075,9999,9999,9999,9999,9999,1,58.575,0.25,6,5.5,6.5,5.5,6.5,"N/A",9999,9999,9999,9999,9999,9999,9999
"17","OA04","Yes","None","Yes",10.51,1.43,"No Cues","Combined",5,15.445795,20.12,0.77,437.925,353.58,346.815,1138.325,2,50.78,0.5,-1,-1,-1,0,-1,"N/A",21.76191895,17.51203249,17.230512895,0.807603736,4.208068574,0.1350400145,0.175983768
"18","OA04","Yes","None","Yes",10.51,1.43,"Collocated","Combined",3,15.59328,19.97,0.78,527.94,360.57,361.715,1250.225,5,51.915,0.5,2,1,2,3,2,"Yes",26.441249375,18.2174349,18.16752202,0.1347708895,2.394333888,0.0987872405,0.12533377
"19","OA04","Yes","None","Yes",10.51,1.43,"HUD","Combined",7,15.65652,28.62,0.55,628.31,425.535,380.25,1434.09,4,36.31,0.5,-1,-1,-2,-1,-1,"No",21.95402973,14.873940905,13.291329145,0.7065845205,14.86330381,0.062635191,0.1142923495
"20","OA04","Yes","None","Yes",10.51,1.43,"Combined","Combined",8,15.83229,24.91,0.635,589.725,450,367.275,1407,3,41.21,1,-1.5,-2,-2,2,-1,"No",23.67641531,18.07949879,14.75380129,0.5250956725,10.69436267,0.0777729055,0.1221639525
"21","OA05","Yes","None","No",11.23,1.34,"Control","Combined",4,9999,16.2375,9999,9999,9999,9999,9999,1,69.73,0.25,5.5,5,5,5.5,6.5,"N/A",9999,9999,9999,9999,9999,9999,9999
"22","OA05","Yes","None","No",11.23,1.34,"No Cues","Combined",2,15.57804,21,0.745,433.735,349.78,200.48,983.985,2,53.44,0,-1,-1,0,-1,-2,"N/A",20.71952169,16.632718895,9.5797711725,0.4834725405,5.296020308,0.1572466045,0.211397756
"23","OA05","Yes","None","No",11.23,1.34,"Collocated","Combined",5,15.54289,19.4,0.805,438.56,281.17,205.925,925.65,3,56.91,0,1,1,1,2,1,"No",22.633185085,14.51336473,10.650622921,0.4603931115,2.4663307325,0.086862878,0.1080774465
"24","OA05","Yes","None","No",11.23,1.34,"HUD","Combined",1,15.636725,20.71,0.76,437.28,334.745,196.18,968.21,4,54.015,1,0,0,1,0,0,"Yes",21.19075073,16.254956185,9.534299503,0.284090909,3.694857871,0.1050387665,0.1386939845
"25","OA05","Yes","None","No",11.23,1.34,"Combined","Combined",6,15.44311,17.06,0.905,386.835,284.505,214.585,885.925,5,65.18,0,1,1,0,1,1,"No",22.6879639,16.68291873,12.590505795,0,1.896969697,0.1232239965,0.1364728555
"26","OA06","No","None","Yes",10.32,1.45,"Control","Combined",7,9999,20.0725,9999,9999,9999,9999,9999,1,52.0125,2.25,5.5,6,5,2,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"27","OA06","No","None","Yes",10.32,1.45,"No Cues","Combined",4,15.402125,18.77,0.82,291.875,203.235,192.83,687.94,5,54.75,2,0,0,0,-1,0,"N/A",15.522253895,10.813043125,10.2494120315,1.1059935995,3.326382683,0.155644726,0.189139019
"28","OA06","No","None","Yes",10.32,1.45,"Collocated","Combined",6,15.563435,22.99,0.68,672.53,352.61,213.905,1239.045,3,44.97,0.5,2.5,3,2,3,-1,"Yes",29.222368105,15.31102997,9.3001706745,0.474252507,5.6807640835,0.1370762785,0.2018305565
"29","OA06","No","None","Yes",10.32,1.45,"HUD","Combined",3,15.856905,28.05,0.565,963.305,416.54,257.06,1636.905,2,36.47,1,1,2,2,0,-2,"No",34.382616525,14.846217275,9.164290265,1.79288605,16.06398132,0.0945120395,0.1671937495
"30","OA06","No","None","Yes",10.32,1.45,"Combined","Combined",2,15.69326,24,0.655,610.84,347.27,206.425,1164.54,4,42.87,1,3,3,3,3,-1,"No",25.429527665,14.487441065,8.6094472735,0.3349203105,6.873898609,0.0924554115,0.1414435575
"31","OA08","Yes","None","Yes",11.69,1.28,"Control","Combined",1,9999,24.46,9999,9999,9999,9999,9999,1,48.8875,1.5,4,4,4.5,2.5,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"32","OA08","Yes","None","Yes",11.69,1.28,"No Cues","Combined",4,16.19159,23.83,0.69,841.205,482.265,642.205,1965.665,4,49.225,2,-1.5,-3,0,0,-3,"N/A",35.11453093,19.94179601,26.49360905,0.659630607,7.2234253505,0.131697435,0.191497881
